race_id,dog_name,box,predicted_rank,shadow_rf_calibrated_probability,odds_decimal,odds_match_status,odds_exclusion_reason,odds_provenance_status,odds_match_method,odds_source_url,odds_timestamp,odds_stale_at_prediction,stale_odds_after_minutes,odds_captured_before_prediction,odds_captured_before_feature_freeze,odds_age_minutes_at_feature_freeze,odds_captured_before_jump,odds_age_minutes_at_jump
Race 2 - BEN - 2026-06-10,Greysynd Magic,2,2,0.2010162396170776,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - BEN - 2026-06-10,Taltarni Blue,3,3,0.15774285123240409,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - BEN - 2026-06-10,Berringa Black,4,6,0.08310453750900951,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - BEN - 2026-06-10,Ritzy Ruth,6,5,0.103505069339098,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - BEN - 2026-06-10,Elsa Escargot,7,4,0.12952015136760178,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - BEN - 2026-06-10,Cheeky Streak,8,7,0.07346294392457056,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - GUNNEDAH - 2026-06-10,Eva Cargo,1,2,0.24734261624682027,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - GUNNEDAH - 2026-06-10,Unhurried,2,1,0.25669097085743564,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - GUNNEDAH - 2026-06-10,Armatree Pearler,4,6,0.10313393259157909,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - GUNNEDAH - 2026-06-10,Armatree Pasta,5,5,0.10766716237576855,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - GUNNEDAH - 2026-06-10,Elsa Cargo,7,4,0.13367159773960333,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - GUNNEDAH - 2026-06-10,Heading South,8,3,0.1514937201887932,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - LADBROKES-Q1-LAKESIDE - 2026-06-10,Lunar Lil,1,2,0.19265578763363267,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
