race_id,sidecar_path,csv_path,csv_exists,runner_count,status,weather_present,track_condition_present,both_weather_track_present,weather,track_condition,metadata_is_leakage_safe,weather_track_metadata_is_leakage_safe,weather_track_metadata_source,weather_track_metadata_source_url,metadata_captured_at,race_date,race_time,rejected_reasons
Race 6 - GUNNEDAH - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0003/Race 6 - GUNNEDAH - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0003/Race 6 - GUNNEDAH - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/gunnedah/2026-06-10/6/red-chief-motel?trial=false,2026-06-10T06:13:01Z,2026-06-10,4:42 PM,weather_track_metadata_is_leakage_safe_not_true
Race 6 - LADBROKES-Q1-LAKESIDE - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0004/Race 6 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0004/Race 6 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/ladbrokes-q1-lakeside/2026-06-10/6/garrard-s-horse-and-hound-5th-grade-h?trial=false,2026-06-10T06:12:56Z,2026-06-10,4:30 PM,weather_track_metadata_is_leakage_safe_not_true
Race 7 - BEN - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0005/Race 7 - BEN - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0005/Race 7 - BEN - 2026-06-10.csv,True,6,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/bendigo/2026-06-10/7/shima-shine-at-stud?trial=false,2026-06-10T06:12:50Z,2026-06-10,4:19 PM,weather_track_metadata_is_leakage_safe_not_true
Race 7 - GUNNEDAH - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0006/Race 7 - GUNNEDAH - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0006/Race 7 - GUNNEDAH - 2026-06-10.csv,True,7,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/gunnedah/2026-06-10/7/tg-mornington-butchery-6-15?trial=false,2026-06-10T06:13:11Z,2026-06-10,5:05 PM,weather_track_metadata_is_leakage_safe_not_true
Race 8 - BEN - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0007/Race 8 - BEN - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0007/Race 8 - BEN - 2026-06-10.csv,True,7,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/bendigo/2026-06-10/8/made-solutions-electrical-and-data?trial=false,2026-06-10T06:12:59Z,2026-06-10,4:34 PM,weather_track_metadata_is_leakage_safe_not_true
Race 9 - BEN - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0008/Race 9 - BEN - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T161200_stage2_odds_same_run_autopilot/eligible_inputs/source_0008/Race 9 - BEN - 2026-06-10.csv,True,6,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/bendigo/2026-06-10/9/sportsbet-more-places?trial=false,2026-06-10T06:13:06Z,2026-06-10,4:57 PM,weather_track_metadata_is_leakage_safe_not_true
Race 6 - GUNNEDAH - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T162500_stage2_first_small_autopilot/eligible_inputs/source_0001/Race 6 - GUNNEDAH - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T162500_stage2_first_small_autopilot/eligible_inputs/source_0001/Race 6 - GUNNEDAH - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/gunnedah/2026-06-10/6/red-chief-motel?trial=false,2026-06-10T06:26:19Z,2026-06-10,4:42 PM,weather_track_metadata_is_leakage_safe_not_true
Race 6 - LADBROKES-Q1-LAKESIDE - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T162500_stage2_first_small_autopilot/eligible_inputs/source_0002/Race 6 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T162500_stage2_first_small_autopilot/eligible_inputs/source_0002/Race 6 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/ladbrokes-q1-lakeside/2026-06-10/6/garrard-s-horse-and-hound-5th-grade-h?trial=false,2026-06-10T06:26:12Z,2026-06-10,4:30 PM,weather_track_metadata_is_leakage_safe_not_true
Race 8 - BEN - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T162500_stage2_first_small_autopilot/eligible_inputs/source_0003/Race 8 - BEN - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T162500_stage2_first_small_autopilot/eligible_inputs/source_0003/Race 8 - BEN - 2026-06-10.csv,True,7,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/bendigo/2026-06-10/8/made-solutions-electrical-and-data?trial=false,2026-06-10T06:26:15Z,2026-06-10,4:34 PM,weather_track_metadata_is_leakage_safe_not_true
Race 10 - BEN - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T165000_daemon_autonomous_stage2_daemon_autopilot/eligible_inputs/source_0001/Race 10 - BEN - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T165000_daemon_autonomous_stage2_daemon_autopilot/eligible_inputs/source_0001/Race 10 - BEN - 2026-06-10.csv,True,6,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/bendigo/2026-06-10/10/avard-civil?trial=false,2026-06-10T06:53:37Z,2026-06-10,5:15 PM,weather_track_metadata_is_leakage_safe_not_true
