race_id,race_date,venue,grade,distance,c,winners,udist,minp,maxp,status,reason
BEN_2025-08-22_1,2025-08-22,BEN,"Tier 3 - Maiden",450,6,0,4,3,8,FAIL,no_winner
BEN_2025-08-22_5,2025-08-22,BEN,"Mixed 4/5",390,5,0,4,2,6,FAIL,no_winner
BEN_2025-08-22_6,2025-08-22,BEN,"Mixed 6/7",450,6,1,4,1,7,FAIL,duplicate_positions
BEN_2025-08-22_7,2025-08-22,BEN,"Grade 5",450,7,1,5,1,7,FAIL,duplicate_positions
BEN_2025-08-22_8,2025-08-22,BEN,"Grade 5",425,5,0,2,2,5,FAIL,no_winner
GEE_2025-08-22_2,2025-08-22,GEE,"Maiden Heat",400,4,0,3,3,7,FAIL,no_winner
GEE_2025-08-22_3,2025-08-22,GEE,"Maiden Heat",400,7,1,3,1,3,FAIL,duplicate_positions
GEE_2025-08-22_4,2025-08-22,GEE,"Grade 5",400,5,0,3,3,5,FAIL,no_winner
GEE_2025-08-22_5,2025-08-22,GEE,"Mixed 4/5",450,5,1,4,1,8,FAIL,duplicate_positions
GEE_2025-08-22_7,2025-08-22,GEE,"Mixed 6/7",460,5,1,5,1,8,FAIL,max_out_of_range
GEE_2025-08-22_8,2025-08-22,GEE,"Grade 5 Final",515,5,1,5,1,7,FAIL,max_out_of_range
GEE_2025-08-22_9,2025-08-22,GEE,"Mixed 6/7",450,5,1,5,1,8,FAIL,max_out_of_range
GOULBURN_2025-08-22_10,2025-08-22,GOULBURN,4/5,440,4,0,4,3,7,FAIL,no_winner
GOULBURN_2025-08-22_11,2025-08-22,GOULBURN,M3,320,5,0,5,2,7,FAIL,no_winner
GOULBURN_2025-08-22_2,2025-08-22,GOULBURN,M,365,4,0,4,3,8,FAIL,no_winner
GOULBURN_2025-08-22_3,2025-08-22,GOULBURN,M,440,6,0,4,2,7,FAIL,no_winner
GOULBURN_2025-08-22_7,2025-08-22,GOULBURN,5,350,7,1,5,1,5,FAIL,duplicate_positions
GOULBURN_2025-08-22_8,2025-08-22,GOULBURN,M,350,5,1,5,1,8,FAIL,max_out_of_range
GOULBURN_2025-08-22_9,2025-08-22,GOULBURN,NG1-4,318,6,1,5,1,8,FAIL,duplicate_positions
GRDN_2025-08-22_1,2025-08-22,GRDN,M,388,5,0,5,2,6,FAIL,no_winner
GRDN_2025-08-22_11,2025-08-22,GRDN,4,400,6,1,4,1,4,FAIL,duplicate_positions
GRDN_2025-08-22_12,2025-08-22,GRDN,5,400,7,1,5,1,8,FAIL,duplicate_positions
GRDN_2025-08-22_2,2025-08-22,GRDN,4/5,520,6,0,6,2,8,FAIL,no_winner
GRDN_2025-08-22_5,2025-08-22,GRDN,5,515,7,0,4,2,6,FAIL,no_winner
HEA_2025-08-22_10,2025-08-22,HEA,"Mixed 6/7",390,7,1,4,1,4,FAIL,duplicate_positions
HEA_2025-08-22_11,2025-08-22,HEA,"Grade 7",515,6,0,6,2,7,FAIL,no_winner
HEA_2025-08-22_12,2025-08-22,HEA,"Grade 5 T3",400,6,1,6,1,8,FAIL,max_out_of_range
MAND_2025-08-22_1,2025-08-22,MAND,5,509,4,0,2,5,7,FAIL,no_winner
MAND_2025-08-22_11,2025-08-22,MAND,6,300,6,0,3,4,7,FAIL,no_winner
MAND_2025-08-22_12,2025-08-22,MAND,NOV,488,4,0,4,2,8,FAIL,no_winner
MAND_2025-08-22_5,2025-08-22,MAND,5,381,5,1,4,1,7,FAIL,duplicate_positions
MAND_2025-08-22_6,2025-08-22,MAND,5,400,5,0,5,3,8,FAIL,no_winner
MAND_2025-08-22_9,2025-08-22,MAND,4/5,400,6,1,5,1,8,FAIL,duplicate_positions
RICH_2025-08-22_1,2025-08-22,RICH,M2/M3,320,4,1,4,1,8,FAIL,max_out_of_range
RICH_2025-08-22_11,2025-08-22,RICH,5,401,4,0,2,5,6,FAIL,no_winner
RICH_2025-08-22_12,2025-08-22,RICH,5,388,6,0,4,3,8,FAIL,no_winner
RICH_2025-08-22_5,2025-08-22,RICH,3/4,401,5,1,4,1,6,FAIL,duplicate_positions
RICH_2025-08-22_6,2025-08-22,RICH,4/5,520,6,0,4,2,5,FAIL,no_winner
RICH_2025-08-22_9,2025-08-22,RICH,M3,520,5,1,4,1,5,FAIL,duplicate_positions
SAL_2025-08-22_10,2025-08-22,SAL,"Grade 5",435,4,1,4,1,8,FAIL,max_out_of_range
SAL_2025-08-22_11,2025-08-22,SAL,"Grade 5",435,7,1,5,1,7,FAIL,duplicate_positions
SAL_2025-08-22_12,2025-08-22,SAL,"Grade 5",400,7,1,5,1,6,FAIL,duplicate_positions
TOWNSVILLE_2025-08-22_11,2025-08-22,TOWNSVILLE,5,380,7,0,3,5,8,FAIL,no_winner
TOWNSVILLE_2025-08-22_2,2025-08-22,TOWNSVILLE,6,380,7,0,5,2,8,FAIL,no_winner
TOWNSVILLE_2025-08-22_3,2025-08-22,TOWNSVILLE,6,380,6,0,5,2,7,FAIL,no_winner
TOWNSVILLE_2025-08-22_5,2025-08-22,TOWNSVILLE,5,380,4,0,3,4,7,FAIL,no_winner
WAGGA_2025-08-22_10,2025-08-22,WAGGA,5,400,5,0,4,3,8,FAIL,no_winner
WAGGA_2025-08-22_11,2025-08-22,WAGGA,5,400,6,1,5,1,5,FAIL,duplicate_positions
WAGGA_2025-08-22_3,2025-08-22,WAGGA,5,320,5,1,3,1,7,FAIL,duplicate_positions
WAGGA_2025-08-22_7,2025-08-22,WAGGA,4/5,440,6,1,4,1,4,FAIL,duplicate_positions
AP_K_2025-08-21_1,2025-08-21,AP_K,SE,400,6,0,4,2,5,FAIL,no_winner
AP_K_2025-08-21_11,2025-08-21,AP_K,OPEN,530,5,0,4,2,7,FAIL,no_winner
AP_K_2025-08-21_12,2025-08-21,AP_K,5,400,5,0,3,2,5,FAIL,no_winner
AP_K_2025-08-21_2,2025-08-21,AP_K,M,530,4,0,4,2,7,FAIL,no_winner
AP_K_2025-08-21_6,2025-08-21,AP_K,4/5,530,3,0,2,2,4,FAIL,no_winner
AP_K_2025-08-21_9,2025-08-21,AP_K,5/6,595,5,0,3,2,4,FAIL,no_winner
CASO_2025-08-21_1,2025-08-21,CASO,M,350,4,0,3,5,8,FAIL,no_winner
CASO_2025-08-21_11,2025-08-21,CASO,5,350,6,0,5,2,8,FAIL,no_winner
CASO_2025-08-21_12,2025-08-21,CASO,5,352,6,0,5,3,8,FAIL,no_winner
CASO_2025-08-21_5,2025-08-21,CASO,5,484,6,1,6,1,7,FAIL,max_out_of_range
CASO_2025-08-21_6,2025-08-21,CASO,5,411,7,1,5,1,5,FAIL,duplicate_positions
CASO_2025-08-21_9,2025-08-21,CASO,6,366,6,0,5,4,8,FAIL,no_winner
DAPT_2025-08-21_11,2025-08-21,DAPT,5,297,7,1,6,1,8,FAIL,duplicate_positions
DAPT_2025-08-21_12,2025-08-21,DAPT,5,297,5,0,5,3,8,FAIL,no_winner
DAPT_2025-08-21_2,2025-08-21,DAPT,5,520,6,1,5,1,6,FAIL,duplicate_positions
DAPT_2025-08-21_5,2025-08-21,DAPT,5,520,7,1,5,1,7,FAIL,duplicate_positions
DAPT_2025-08-21_6,2025-08-21,DAPT,4/5,520,6,1,5,1,7,FAIL,duplicate_positions
DAPT_2025-08-21_9,2025-08-21,DAPT,M,297,6,1,4,1,7,FAIL,duplicate_positions
HOBT_2025-08-21_10,2025-08-21,HOBT,4,340,7,1,6,1,7,FAIL,duplicate_positions
HOBT_2025-08-21_3,2025-08-21,HOBT,6,340,5,0,4,2,7,FAIL,no_winner
HOBT_2025-08-21_4,2025-08-21,HOBT,BT8,515,6,0,5,2,7,FAIL,no_winner
HOBT_2025-08-21_7,2025-08-21,HOBT,5,461,5,0,4,2,6,FAIL,no_winner
HOBT_2025-08-21_8,2025-08-21,HOBT,R/W,278,8,0,4,2,5,FAIL,no_winner
MAND_2025-08-21_1,2025-08-21,MAND,M,300,4,0,3,2,5,FAIL,no_winner
MAND_2025-08-21_11,2025-08-21,MAND,6,300,5,0,4,2,7,FAIL,no_winner
MAND_2025-08-21_12,2025-08-21,MAND,6,300,7,1,4,1,5,FAIL,duplicate_positions
MAND_2025-08-21_2,2025-08-21,MAND,NOV,300,7,0,6,3,8,FAIL,no_winner
MAND_2025-08-21_5,2025-08-21,MAND,4/5,601,7,1,4,1,7,FAIL,duplicate_positions
MAND_2025-08-21_6,2025-08-21,MAND,6,381,7,0,5,3,7,FAIL,no_winner
MAND_2025-08-21_9,2025-08-21,MAND,4,300,5,0,4,2,8,FAIL,no_winner
MOUNT_2025-08-21_1,2025-08-21,MOUNT,M,305,5,0,3,2,6,FAIL,no_winner
MOUNT_2025-08-21_4,2025-08-21,MOUNT,TG1-4W,400,4,0,4,3,8,FAIL,no_winner
MOUNT_2025-08-21_5,2025-08-21,MOUNT,6,300,4,0,3,3,7,FAIL,no_winner
MOUNT_2025-08-21_8,2025-08-21,MOUNT,TG5+W,400,6,1,6,1,7,FAIL,max_out_of_range
MOUNT_2025-08-21_9,2025-08-21,MOUNT,5,400,3,0,3,3,6,FAIL,no_winner
SAN_2025-08-21_2,2025-08-21,SAN,"Mixed 6/7",515,5,1,4,1,5,FAIL,duplicate_positions
