model_id,model_name,prediction_type,created_at,accuracy,auc,top1_rate,is_best
V4_GradientBoosting_CalibratedPipeline_20250828_161925,V4_GradientBoosting,win,2025-08-28T16:19:25.443771,0.8530251141552512,0.6853529045355229,0.3853564547206166,True
V4_Optimized_Ensemble_CalibratedPipeline_20250904_192649,V4_Optimized_Ensemble,win,2025-09-04T19:26:50.873066,0.7796610169491526,0.6182553956834532,0.34210526315789475,False
V4_Optimized_Extratrees_CalibratedPipeline_20250904_191608,V4_Optimized_Extratrees,win,2025-09-04T19:16:08.784282,0.7740112994350282,0.6234380916319575,0.3157894736842105,False
V4_ExtraTrees_CalibratedPipeline_20250904_184820,V4_ExtraTrees,win,2025-09-04T18:48:23.900005,0.7740112994350282,0.6422519878833776,0.3026315789473684,False
V4_ExtraTrees_CalibratedPipeline_20250904_190814,V4_ExtraTrees,win,2025-09-04T19:08:21.012585,0.7824858757062146,0.6337324876940552,0.3026315789473684,False
