race_id,race_date,venue,race_number,shadow_prediction_rows,shadow_prediction_path_count,shadow_box_count,official_artifact_race_rows,official_artifact_runner_rows,official_artifact_path_count,official_artifact_box_count,official_result_db_race_rows,official_result_db_runner_rows,official_result_db_box_count,official_result_conflict_count,live_odds_rows,live_odds_box_count,strict_live_odds_rows,strict_live_odds_box_count,has_shadow_predictions,has_official_result_artifact,has_official_result_evidence_db,has_live_odds,has_strict_prejump_odds,has_complete_official_result_evidence_db_for_shadow,has_complete_strict_prejump_odds_for_shadow,has_complete_shadow_official_and_strict_odds,recommended_next_action,shadow_boxes,official_result_db_boxes,strict_live_odds_boxes,sample_shadow_prediction_paths,sample_official_artifact_paths
LCTN_2025-09-16_10,2025-09-16,Launceston,10,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
LCTN_2025-09-16_2,2025-09-16,Launceston,2,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
LCTN_2025-09-16_3,2025-09-16,Launceston,3,0,0,0,0,0,0,0,0,0,0,0,72,6,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
LCTN_2025-09-16_4,2025-09-16,Launceston,4,0,0,0,0,0,0,0,0,0,0,0,80,8,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
LCTN_2025-09-16_5,2025-09-16,Launceston,5,0,0,0,0,0,0,0,0,0,0,0,71,7,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
LCTN_2025-09-16_6,2025-09-16,Launceston,6,0,0,0,0,0,0,0,0,0,0,0,80,8,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
LCTN_2025-09-16_7,2025-09-16,Launceston,7,0,0,0,0,0,0,0,0,0,0,0,176,8,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
LCTN_2025-09-16_8,2025-09-16,Launceston,8,0,0,0,0,0,0,0,0,0,0,0,80,8,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
LCTN_2025-09-16_9,2025-09-16,Launceston,9,0,0,0,0,0,0,0,0,0,0,0,84,7,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
NOWRA_2026-05-21_1,2026-05-21,Nowra,1,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
NOWRA_2026-05-21_2,2026-05-21,Nowra,2,0,0,0,0,0,0,0,0,0,0,0,14,7,0,0,False,False,False,True,False,False,False,False,not_shadow_scored,[],[],[],[],[]
