dog_name,sex,place,box_number,weight_kg,distance_m,race_date,track_code,grade,race_time,winning_time,bonus_points,first_section_time,margin,winner_two_greyhounds,performance_index_rating,starting_price
Taz Maniac,D,5,6,27.6,395,2025-06-13,MBR,M,23.59,22.23,22.12,5.31,19.5,Capybara,5,51.0
Taz Maniac,D,3,7,27.6,342,2025-06-07,AP/K,M,21.47,20.5,19.84,4.9,13.75,BLAZIN' BON,3,18.0
Taz Maniac,D,3,8,27.2,342,2025-06-03,AP/K,M,21.27,20.05,19.7,4.84,17.25,On Vacation,5333,51.0
Taz Maniac,D,4,4,27.4,400,2025-05-28,GAWL,M,24.32,23.57,22.78,9.41,10.5,Long Gully Girl,3444,41.0
Taz Maniac,D,4,4,27.3,342,2025-05-24,AP/K,M,20.69,20.1,19.86,4.84,8.25,Weblec Wonder,4444,18.0
