dog_name,sex,place,box_number,weight_kg,distance_m,race_date,track_code,grade,race_time,winning_time,bonus_points,first_section_time,margin,winner_two_greyhounds,performance_index_rating,starting_price
Hayride Ramps,B,2,4,27.6,400,2025-06-25,GAWL,M,23.91,22.96,22.87,9.07,13.5,Agent Twenty One,2222,41.0
Hayride Ramps,B,5,5,27.6,342,2025-06-21,AP/K,M,20.76,20.29,19.64,4.72,6.5,Hayride Warner,2245,26.0
Hayride Ramps,B,4,2,27.3,342,2025-06-16,AP/K,M,21.38,19.73,19.27,4.72,23.5,Adhana Annie,4,41.0
Hayride Ramps,B,3,8,27.4,342,2025-06-10,AP/K,M,20.85,20.19,19.41,4.76,9.25,Gabby Maisy,3,19.0
