dog_name,sex,place,box_number,weight_kg,distance_m,race_date,track_code,grade,race_time,winning_time,bonus_points,first_section_time,margin,winner_two_greyhounds,performance_index_rating,starting_price
HANDOVER,B,5,2,26.3,400,2025-06-06,GEE,Maiden,23.23,22.785,22.453,,6.75,IMPACTFUL,5,7.5
HANDOVER,B,6,2,26.6,400,2025-05-29,GEE,Maiden Heat,23.424,22.703,22.589,8.98,11.0,ASTON FONTAINE,6,3.4
