Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. PITMAN GO WELL,D,3,7,29.5,425,2025-07-16,BEN,Tier 3 - Maiden,24.769,24.332,23.987,6.8075,6.75,KRAKEN TOMMY,3,12.0,Wednesday,July,BEN
1. PITMAN GO WELL,D,6,1,29.3,460,2025-07-08,GEE,Maiden,26.437,25.974,25.968,6.8075,7.0,ASCEND IGLOO,6,26.0,Tuesday,July,GEE
1. PITMAN GO WELL,D,4,2,29.1,450,2025-07-01,BAL,Restricted Win,26.292,25.8,25.647,6.8075,7.5,MAJOR ORSON,4,16.0,Tuesday,July,BAL
1. PITMAN GO WELL,D,6,5,28.5,425,2025-06-25,BEN,Tier 3 - Maiden,25.064,24.664,24.085,6.99175,6.0,BIRDHILL NED,6,5.0,Wednesday,June,BEN
1. PITMAN GO WELL,D,3,4,28.7,425,2025-06-20,BEN,Maiden,24.853,24.452,23.851,6.8075,6.0,ACCOUNTS MANAGER,3,12.0,Friday,June,BEN
2. LADY ROSALYN,B,7,6,25.7,450,2025-06-14,BAL,Maiden,26.849,25.972,25.721,7.072,13.25,SHADOW MAC,7,4.8,Saturday,June,BAL
2. LADY ROSALYN,B,3,8,25.5,525,2025-06-11,MEA,Maiden,30.916,30.32,30.153,7.072,9.0,NOVA'S FERN,3,18.0,Wednesday,June,MEA
2. LADY ROSALYN,B,3,8,25.9,450,2025-05-19,BAL,Maiden,26.067,25.769,25.205,6.895,4.5,LADY CALAMITY,3,6.0,Monday,May,BAL
2. LADY ROSALYN,B,3,4,25.7,450,2025-05-05,BAL,Tier 3 - Maiden,26.504,25.961,25.602,6.925,8.25,BUST UP,3,4.2,Monday,May,BAL
2. LADY ROSALYN,B,2,4,25.6,450,2025-04-28,BAL,Tier 3 - Maiden,26.276,26.095,25.647,6.79,2.75,SPICE ROAD,2,12.0,Monday,April,BAL
3. PAW ZENITH,D,4,7,33.4,400,2025-07-18,GEE,Maiden,23.057,22.763,22.536,8.71025,4.5,KAREN STRATUS,4,4.8,Friday,July,GEE
3. PAW ZENITH,D,2,1,32.4,425,2025-07-11,BEN,Maiden,24.489,24.48,23.858,6.667,0.25,BONNIE BLITZ,2,3.2,Friday,July,BEN
3. PAW ZENITH,D,2,8,32.9,460,2025-07-04,WAR,Maiden,26.617,26.474,26.113,6.667,2.25,DR. ULMA,2,3.0,Friday,July,WAR
3. PAW ZENITH,D,3,5,32.3,525,2025-06-28,MEA,Maiden Final,31.046,30.022,29.843,5.4045,15.5,KEEP ROLLING,3,6.5,Saturday,June,MEA
