Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. PAW ZENITH,D,2,8,32.9,460,2025-07-04,WAR,Maiden,26.617,26.474,26.113,,2.25,DR. ULMA,2,3.0,Friday,July,WAR
1. PAW ZENITH,D,3,5,32.3,525,2025-06-28,MEA,Maiden Final,31.046,30.022,29.843,5.4045,15.5,KEEP ROLLING,3,6.5,Saturday,June,MEA
1. PAW ZENITH,D,2,3,32.2,525,2025-06-18,MEA,Maiden Heat,30.622,30.385,29.967,5.4045,3.75,MEASUREMENT,2,6.5,Wednesday,June,MEA
3. WALL HOUSE,B,3,7,28.8,390,2025-06-30,SHE,Maiden,22.919,22.401,21.894,5.4045,7.75,PURPLE,3,3.6,Monday,June,SHE
5. BONNIE BLITZ,B,3,6,28.1,425,2025-06-20,BEN,Maiden,24.576,24.12,23.851,5.4045,7.0,GUNAI HONCHO,3,4.2,Friday,June,BEN
5. BONNIE BLITZ,B,6,3,27.7,525,2025-05-28,MEA,Maiden,31.609,30.093,30.028,5.22,22.75,DESTINY LANE,6,7.0,Wednesday,May,MEA
7. ENERGISER DASH,B,5,8,25.5,425,2025-07-04,BEN,Restricted Win,24.719,23.974,23.619,5.22,11.25,PLATINUM RELEASE,5,8.0,Friday,July,BEN
8. EXCITABLE DASH,B,6,4,25.0,425,2025-07-04,BEN,Restricted Win,24.842,23.974,23.619,5.22,13.0,PLATINUM RELEASE,6,7.5,Friday,July,BEN
9. KEY ACONITE,D,5,8,31.0,390,2025-07-02,BAL,Maiden,23.6,22.978,22.076,5.22,9.5,BEN SHIRAZ,5,4.0,Wednesday,July,BAL
10. TILLY'S SPIRIT,B,6,2,26.5,425,2025-06-29,BEN,Maiden,25.091,24.385,23.624,5.22,10.75,SALTY SNOOP,6,3.6,Sunday,June,BEN
