Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. ELLA'S BABE,B,1,7,30.4,730,2025-07-19,MEA,S/E Heat,43.167,43.167,42.738,,1.25,Late Night News,1,3.4,Saturday,July,MEA
1. ELLA'S BABE,B,3,8,31.1,600,2025-06-21,MEA,Grade 5,34.945,34.913,34.69,,0.5,PAW GRADY,3,3.0,Saturday,June,MEA
1. ELLA'S BABE,B,6,2,31.1,680,2025-06-13,GEE,Group Listed,39.65,38.981,38.826,,10.0,ETHANOL WATER,6,6.5,Friday,June,GEE
1. ELLA'S BABE,B,1,6,30.8,680,2025-06-07,GEE,S/E Heat,39.342,39.342,38.964,18.87,0.5,ETHANOL WATER,1,3.4,Saturday,June,GEE
1. ELLA'S BABE,B,3,4,31.2,715,2025-05-15,SAN,S/E Heat,42.119,41.594,41.535,18.87,8.0,PASS MARK,3,2.8,Thursday,May,SAN
2. Late Night News,D,2,2,32.2,730,2025-07-19,MEA,S/E Heat,43.25,43.167,42.738,18.87,1.25,ELLA'S BABE,2,3.2,Saturday,July,MEA
2. Late Night News,D,6,7,32.3,660,2025-07-16,GRAF,NG,38.71,38.04,38.04,21.02,9.5,Goldmine Fire,7776,3.8,Wednesday,July,GRAF
2. Late Night News,D,2,2,31.9,710,2025-06-26,QTT,OPEN,41.5,41.33,41.24,4.83,2.25,Firethorn,6332,2.9,Thursday,June,QTT
2. Late Night News,D,4,3,31.7,710,2025-06-19,QTT,OPEN,42.19,41.76,41.33,4.78,6.0,AKELA NINJUTSU,4564,3.5,Thursday,June,QTT
2. Late Night News,D,2,7,31.6,715,2025-05-02,GRDN,NG,41.59,41.46,41.29,15.95,1.75,Autumn Storm,687432,3.0,Friday,May,GRDN
3. ETHANOL WATER,B,3,7,27.6,730,2025-07-19,MEA,S/E Heat,43.02,42.912,42.738,15.95,1.75,LANFRANCO,3,2.2,Saturday,July,MEA
3. ETHANOL WATER,B,1,1,28.2,710,2025-06-26,QTT,OPEN,41.4,41.4,41.24,4.68,5.25,Goldmine Fire,3221,1.75,Thursday,June,QTT
3. ETHANOL WATER,B,2,7,28.4,710,2025-06-19,QTT,OPEN,41.53,41.33,41.33,4.64,2.75,Raider's Guide,2422,2.7,Thursday,June,QTT
3. ETHANOL WATER,B,1,5,28.3,680,2025-06-13,GEE,Group Listed,38.981,38.981,38.826,4.64,3.5,ETHANOL VOLUME,1,3.2,Friday,June,GEE
3. ETHANOL WATER,B,2,1,28.1,680,2025-06-07,GEE,S/E Heat,39.375,39.342,38.964,18.6425,0.5,ELLA'S BABE,2,1.9,Saturday,June,GEE
4. FADE TO BLACK,D,2,8,30.1,730,2025-07-19,MEA,S/E Heat,42.955,42.912,42.738,18.6425,0.75,LANFRANCO,2,3.6,Saturday,July,MEA
4. FADE TO BLACK,D,2,7,30.1,660,2025-07-11,BEN,Mixed 4/5,37.713,37.59,37.59,18.6425,2.0,WITHOUT A TRACE,2,6.0,Friday,July,BEN
4. FADE TO BLACK,D,1,8,30.2,600,2025-07-05,MEA,Mixed 4/5,34.733,34.733,34.733,9.2425,4.25,TAMMY MCIVOR,1,3.2,Saturday,July,MEA
4. FADE TO BLACK,D,3,5,30.1,600,2025-06-28,MEA,Mixed 4/5,34.658,34.543,34.543,9.2795,1.75,MITZI ROCKS,3,2.4,Saturday,June,MEA
4. FADE TO BLACK,D,5,5,30.3,460,2025-06-24,WAR,Grade 5 Final,26.204,26.033,26.021,6.7815,2.75,DR. GILLIAN,5,2.7,Tuesday,June,WAR
5. WITHOUT A TRACE,B,1,3,26.0,730,2025-07-19,MEA,S/E Heat,42.738,42.738,42.738,6.7815,6.0,COPPER RUSH,1,1.8,Saturday,July,MEA
5. WITHOUT A TRACE,B,1,2,25.7,660,2025-07-11,BEN,Mixed 4/5,37.59,37.59,37.59,6.7815,2.0,FADE TO BLACK,1,2.8,Friday,July,BEN
5. WITHOUT A TRACE,B,2,2,26.2,595,2025-07-03,SAN,S/E Group 2,34.383,34.16,34.16,6.7815,3.5,FERNANDO DUKE,2,3.4,Thursday,July,SAN
5. WITHOUT A TRACE,B,1,7,26.2,595,2025-06-26,SAN,S/E Heat,34.314,34.314,34.095,9.3275,2.0,URANA COBALT,1,1.9,Thursday,June,SAN
5. WITHOUT A TRACE,B,1,2,25.9,680,2025-06-13,GEE,Group Listed,38.826,38.826,38.826,9.3275,13.5,REGAL JYLE,1,4.6,Friday,June,GEE
