Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. Who,D,5,2,34.7,460,2025-03-29,GEE,Grade 5,26.869,26.257,26.257,7.0045,9.25,NARINGAL MATE,5,10.0,Saturday,March,GEE
1. Who,D,5,7,35.3,400,2025-03-08,GEE,Grade 5,23.138,22.742,22.742,7.0045,6.0,PAW KATTIA,5,15.0,Saturday,March,GEE
1. Who,D,7,3,35.3,400,2025-03-01,GEE,Grade 5,23.202,22.659,22.552,8.76,8.25,JUST BELIEVE,7,12.0,Saturday,March,GEE
1. Who,D,3,3,35.6,425,2025-02-21,BEN,Grade 5,24.634,24.243,24.243,8.76,6.0,SILVER MACHINE,3,10.0,Friday,February,BEN
1. Who,D,4,5,35.4,460,2025-01-30,WAR,Grade 5 T3,26.705,25.84,25.84,8.76,13.0,HUMIDITY,4,21.0,Thursday,January,WAR
2. FRANK GRIMES,D,7,8,36.6,390,2025-06-23,BAL,Grade 5 T3,23.353,22.494,22.401,9.00925,13.0,SERENITY GIRL,7,6.0,Monday,June,BAL
2. FRANK GRIMES,D,7,1,36.3,300,2025-06-06,HEA,Grade 5 T3,17.322,16.931,16.808,9.00925,6.0,NEW ARRANGEMENT,7,7.5,Friday,June,HEA
2. FRANK GRIMES,D,7,3,37.5,390,2025-03-06,SHE,Grade 5 T3,22.87,22.246,21.939,8.73,9.5,Delightful,7,3.6,Thursday,March,SHE
2. FRANK GRIMES,D,4,7,37.5,390,2025-01-27,SHE,Grade 5,22.852,22.327,22.226,8.91,8.0,CRUSOE RICO,4,8.0,Monday,January,SHE
2. FRANK GRIMES,D,4,8,37.5,425,2025-01-17,BEN,Grade 5 No Penalty,24.66,24.066,23.552,8.91,9.0,Yellow Hawk,4,3.4,Friday,January,BEN
3. MORE BOOST RICO,D,1,4,34.8,390,2025-06-16,BAL,Grade 5 T3,22.832,22.832,22.501,8.80675,0.75,PAW PASCAL,1,12.0,Monday,June,BAL
3. MORE BOOST RICO,D,5,8,34.7,390,2025-06-09,BAL,Grade 5 T3,22.9,22.58,22.404,8.80675,5.0,PAW TEMPE,5,8.0,Monday,June,BAL
3. MORE BOOST RICO,D,8,3,34.1,350,2025-06-06,HEA,Grade 5 T3,20.011,19.577,19.389,6.83825,6.5,Aussie Savannah,8,21.0,Friday,June,HEA
3. MORE BOOST RICO,D,6,3,34.9,390,2025-06-02,SHE,Grade 5 T3,23.182,22.595,21.941,6.83825,9.0,COLLINDA PEARL,6,12.0,Monday,June,SHE
3. MORE BOOST RICO,D,7,6,35.1,425,2025-05-30,BEN,Grade 5,24.859,23.882,23.747,6.83825,14.75,Tension Head,7,16.0,Friday,May,BEN
4. Mr. Flash,D,8,7,34.4,390,2025-06-23,BAL,Grade 5 T3,23.52,22.494,22.401,9.11425,15.5,SERENITY GIRL,8,3.4,Monday,June,BAL
4. Mr. Flash,D,2,10,34.7,390,2025-06-09,BAL,Grade 5 T3,22.646,22.432,22.404,9.11425,3.25,PYRENEES PRINCE,2,21.0,Monday,June,BAL
4. Mr. Flash,D,7,4,34.6,390,2025-05-26,BAL,Grade 5 T3,23.186,22.756,22.296,8.8925,6.5,Yabby Gang,7,4.2,Monday,May,BAL
