Dog Name,Sex,PLC,BOX,WGT,DIST,DATE,TRACK,G,TIME,WIN,BON,1 SEC,MGN,W/2G,PIR,SP,day_of_week,month,track_code
1. SAUNDERS,D,5,1,35.7,425,2025-06-25,BEN,Tier 3 - Maiden,24.982,24.169,24.085,,12.25,MIDNIGHT THUNDER,5,18.0,Wednesday,June,BEN
1. SAUNDERS,D,4,1,35.5,450,2025-06-14,BAL,Maiden,26.374,25.972,25.721,6.967,6.0,SHADOW MAC,4,15.0,Saturday,June,BAL
1. SAUNDERS,D,3,5,35.6,450,2025-06-02,BAL,Tier 3 - Maiden,26.48,26.379,25.307,7.01775,1.75,BACHELOR PARTY,3,16.0,Monday,June,BAL
1. SAUNDERS,D,5,4,35.2,450,2025-05-26,BAL,Tier 3 - Maiden,26.597,25.469,25.469,7.08175,17.0,TYPHOON TERRY,5,21.0,Monday,May,BAL
1. SAUNDERS,D,6,7,35.0,450,2025-05-19,WAR,Maiden,26.253,25.596,25.558,7.08175,10.0,LEKTRA JANE,6,16.0,Monday,May,WAR
2. POINT MAN,D,4,5,32.0,460,2025-06-24,GEE,Maiden,26.662,25.6,25.6,7.0845,16.0,CHARLESTOWN,4,2.4,Tuesday,June,GEE
2. POINT MAN,D,6,2,32.6,450,2025-06-18,BAL,Maiden,26.617,25.124,25.124,7.0845,22.5,METAPHORICAL,6,12.0,Wednesday,June,BAL
2. POINT MAN,D,2,1,32.8,460,2025-06-10,GEE,Maiden,26.522,26.492,25.781,6.94,0.5,ASTON SURPASS,2,2.8,Tuesday,June,GEE
2. POINT MAN,D,3,3,32.8,400,2025-06-03,GEE,Maiden,23.188,22.914,22.676,8.75,4.25,MISS BELIEVER,3,2.2,Tuesday,June,GEE
2. POINT MAN,D,2,5,32.7,460,2025-05-27,GEE,Maiden,26.258,26.126,26.126,6.71,2.0,CANYA LEXI,2,5.0,Tuesday,May,GEE
3. MY DEAR FRIEND,D,7,3,35.1,460,2025-06-24,GEE,Maiden,26.707,25.6,25.6,7.081,16.75,CHARLESTOWN,7,2.8,Tuesday,June,GEE
3. MY DEAR FRIEND,D,2,4,34.6,450,2025-06-16,WAR,Maiden,25.993,25.611,25.611,6.922,5.75,LEMON PEPPER,2,1.9,Monday,June,WAR
3. MY DEAR FRIEND,D,6,7,34.7,515,2025-06-09,SAN,Maiden,31.378,30.286,29.916,5.485,16.5,NO MORE EXTRAS,6,3.5,Monday,June,SAN
3. MY DEAR FRIEND,D,5,6,34.9,515,2025-06-02,SAN,Maiden,30.596,30.088,29.593,5.485,7.75,DOONGALLA SERENA,5,2.0,Monday,June,SAN
4. WHAT HAPPENED,B,4,8,27.5,425,2025-06-27,BEN,Maiden,24.634,24.007,23.682,6.8425,9.5,PAR EXCELLENCE,4,4.8,Friday,June,BEN
4. WHAT HAPPENED,B,3,4,27.7,450,2025-06-19,SHE,Maiden,26.06,25.763,25.592,6.8425,4.5,ARGYLE WHISKEY,3,3.6,Thursday,June,SHE
6. BETTER OFF,D,5,7,32.5,450,2025-06-19,SHE,Maiden,27.036,25.763,25.592,6.8425,19.0,ARGYLE WHISKEY,5,6.5,Thursday,June,SHE
6. BETTER OFF,D,2,4,32.2,450,2025-06-12,SHE,Maiden,26.31,25.678,25.678,6.8425,9.5,HERO BLUES,2,2.4,Thursday,June,SHE
6. BETTER OFF,D,5,1,31.5,525,2025-06-04,MEA,Maiden,30.967,30.343,29.847,5.44,9.5,SCOTCH MARRA,5,2.2,Wednesday,June,MEA
6. BETTER OFF,D,5,8,33.2,525,2025-01-22,MEA,Maiden,32.191,30.755,29.861,5.44,21.5,DARK MIRACLE,5,1.8,Wednesday,January,MEA
7. GO FISH,D,4,6,32.5,450,2025-06-23,BAL,Tier 3 - Maiden,26.84,26.124,25.826,7.14425,10.75,SMOKEY BOURBSKI,4,4.2,Monday,June,BAL
7. GO FISH,D,3,3,32.4,425,2025-06-18,BEN,Tier 3 - Maiden,24.686,24.539,24.139,7.14425,2.25,WOW GIRL,3,8.0,Wednesday,June,BEN
7. GO FISH,D,7,2,32.4,390,2025-06-14,BAL,Maiden,23.209,22.548,22.504,9.00425,10.0,CRACKERJACK HOPS,7,8.0,Saturday,June,BAL
7. GO FISH,D,7,2,31.9,400,2025-05-29,GEE,Maiden Heat,23.886,22.764,22.589,8.7675,16.75,RUCKMAN,7,21.0,Thursday,May,GEE
7. GO FISH,D,3,1,31.5,390,2025-05-22,SHE,Maiden,22.87,22.518,22.264,8.64175,5.5,GREYSYND MERLIN,3,4.6,Thursday,May,SHE
8. JOSIE'S SHADOW,B,7,4,29.3,410,2025-06-17,HOR,Maiden Heat,24.656,23.83,23.306,8.64175,12.5,ALL MUCKED UP,7,21.0,Tuesday,June,HOR
8. JOSIE'S SHADOW,B,8,7,29.6,525,2025-06-11,MEA,Maiden,31.565,30.32,30.153,8.64175,18.75,NOVA'S FERN,8,5.0,Wednesday,June,MEA
