484|61|2. Russo|8|3||30.5||||||2025-07-27 09:52:05
814|103|8. Fantastic Storm|4|2||34.5||||||2025-07-27 09:52:05
421|53|6. Hip Hop|8|4||25.3||||||2025-07-27 09:52:05
690|87|1. Bogan Knows|3|6||34.2||||||2025-07-27 09:52:05
445|56|6. RIVER GEORGE|1|8||31.8||||||2025-07-27 09:52:05
